Rounded_Lat,Rounded_Lon,Crime_Count,Safety_Status
0.0,0.0,2,Safe
40.499,-74.242,1,Safe
40.499,-74.24,3,Safe
40.5,-74.245,3,Safe
40.5,-74.244,2,Safe
40.5,-74.239,1,Safe
40.501,-74.242,3,Safe
40.501,-74.24,1,Safe
40.501,-74.239,2,Safe
40.502,-74.248,1,Safe
40.502,-74.241,1,Safe
40.502,-74.238,3,Safe
40.502,-74.235,1,Safe
40.502,-74.234,1,Safe
40.503,-74.247,1,Safe
40.503,-74.245,5,Safe
40.503,-74.244,1,Safe
40.503,-74.243,4,Safe
40.503,-74.242,3,Safe
40.503,-74.238,2,Safe
40.504,-74.252,1,Safe
40.504,-74.251,2,Safe
40.504,-74.25,1,Safe
40.504,-74.243,1,Safe
40.504,-74.241,2,Safe
40.504,-74.24,1,Safe
40.504,-74.232,1,Safe
40.505,-74.247,1,Safe
40.505,-74.242,1,Safe
40.505,-74.24,1,Safe
40.505,-74.238,1,Safe
40.506,-74.253,1,Safe
40.506,-74.252,1,Safe
40.506,-74.249,1,Safe
40.506,-74.243,1,Safe
40.506,-74.242,4,Safe
40.506,-74.238,3,Safe
40.506,-74.237,3,Safe
40.506,-74.23,1,Safe
40.506,-74.224,1,Safe
40.507,-74.251,1,Safe
40.507,-74.25,2,Safe
40.507,-74.239,2,Safe
40.507,-74.236,2,Safe
40.507,-74.235,3,Safe
40.507,-74.234,2,Safe
40.507,-74.233,1,Safe
40.507,-74.232,1,Safe
40.508,-74.255,1,Safe
40.508,-74.252,1,Safe
40.508,-74.246,9,Safe
40.508,-74.245,5,Safe
40.508,-74.243,3,Safe
40.508,-74.235,1,Safe
40.508,-74.233,5,Safe
40.508,-74.23,5,Safe
40.508,-74.229,1,Safe
40.508,-74.225,3,Safe
40.508,-74.224,1,Safe
40.509,-74.247,3,Safe
40.509,-74.246,1,Safe
40.509,-74.244,1,Safe
40.509,-74.243,1,Safe
40.509,-74.239,1,Safe
40.509,-74.235,1,Safe
40.509,-74.234,5,Safe
40.509,-74.233,1,Safe
40.509,-74.23,3,Safe
40.509,-74.229,1,Safe
40.509,-74.223,4,Safe
40.509,-74.222,1,Safe
40.51,-74.249,1,Safe
40.51,-74.248,3,Safe
40.51,-74.244,4,Safe
40.51,-74.243,2,Safe
40.51,-74.241,1,Safe
40.51,-74.239,1,Safe
40.51,-74.231,2,Safe
40.511,-74.253,1,Safe
40.511,-74.248,5,Safe
40.511,-74.246,1,Safe
40.511,-74.242,5,Safe
40.511,-74.241,3,Safe
40.511,-74.235,3,Safe
40.511,-74.234,1,Safe
40.511,-74.225,1,Safe
40.511,-74.21,1,Safe
40.512,-74.252,1,Safe
40.512,-74.251,1,Safe
40.512,-74.243,4,Safe
40.512,-74.24,2,Safe
40.512,-74.239,1,Safe
40.512,-74.236,1,Safe
40.512,-74.232,2,Safe
40.512,-74.231,1,Safe
40.512,-74.21,3,Safe
40.513,-74.25,9,Safe
40.513,-74.249,1,Safe
40.513,-74.248,1,Safe
40.513,-74.242,4,Safe
40.513,-74.241,1,Safe
40.513,-74.237,2,Safe
40.513,-74.233,1,Safe
40.513,-74.201,1,Safe
40.513,-74.2,1,Safe
40.513,-74.196,1,Safe
40.514,-74.247,1,Safe
40.514,-74.246,1,Safe
40.514,-74.245,4,Safe
40.514,-74.243,2,Safe
40.514,-74.242,1,Safe
40.514,-74.24,1,Safe
40.514,-74.236,3,Safe
40.514,-74.232,2,Safe
40.514,-74.211,1,Safe
40.514,-74.206,1,Safe
40.514,-74.202,1,Safe
40.514,-74.201,1,Safe
40.514,-74.196,1,Safe
40.514,-74.195,1,Safe
40.515,-74.248,4,Safe
40.515,-74.246,1,Safe
40.515,-74.245,3,Safe
40.515,-74.244,1,Safe
40.515,-74.243,4,Safe
40.515,-74.237,2,Safe
40.515,-74.206,1,Safe
40.515,-74.203,3,Safe
40.516,-74.244,1,Safe
40.516,-74.242,1,Safe
40.516,-74.24,2,Safe
40.516,-74.238,1,Safe
40.516,-74.237,2,Safe
40.516,-74.234,8,Safe
40.516,-74.233,8,Safe
40.516,-74.198,1,Safe
40.516,-74.197,1,Safe
40.516,-74.196,1,Safe
40.517,-74.242,3,Safe
40.517,-74.241,1,Safe
40.517,-74.24,4,Safe
40.517,-74.239,2,Safe
40.517,-74.233,5,Safe
40.517,-74.232,1,Safe
40.517,-74.231,1,Safe
40.517,-74.212,1,Safe
40.517,-74.204,1,Safe
40.517,-74.203,1,Safe
40.518,-74.239,1,Safe
40.518,-74.231,1,Safe
40.518,-74.225,2,Safe
40.518,-74.213,1,Safe
40.518,-74.195,1,Safe
40.518,-74.194,1,Safe
40.519,-74.231,4,Safe
40.519,-74.206,1,Safe
40.519,-74.205,2,Safe
40.519,-74.204,1,Safe
40.519,-74.201,9,Safe
40.519,-74.197,3,Safe
40.519,-74.188,1,Safe
40.52,-74.229,3,Safe
40.52,-74.22,1,Safe
40.52,-74.219,2,Safe
40.52,-74.213,1,Safe
40.52,-74.21,1,Safe
40.52,-74.209,1,Safe
40.52,-74.199,1,Safe
40.52,-74.197,2,Safe
40.52,-74.195,1,Safe
40.52,-74.188,2,Safe
40.521,-74.237,4,Safe
40.521,-74.235,3,Safe
40.521,-74.233,1,Safe
40.521,-74.23,1,Safe
40.521,-74.218,1,Safe
40.521,-74.216,2,Safe
40.521,-74.207,2,Safe
40.521,-74.196,1,Safe
40.521,-74.177,1,Safe
40.522,-74.23,4,Safe
40.522,-74.224,1,Safe
40.522,-74.222,3,Safe
40.522,-74.215,2,Safe
40.522,-74.214,4,Safe
40.522,-74.212,3,Safe
40.522,-74.205,1,Safe
40.522,-74.198,1,Safe
40.522,-74.185,2,Safe
40.522,-74.184,5,Safe
40.523,-74.239,7,Safe
40.523,-74.22,1,Safe
40.523,-74.218,1,Safe
40.523,-74.216,4,Safe
40.523,-74.214,3,Safe
40.523,-74.207,1,Safe
40.523,-74.2,1,Safe
40.523,-74.199,2,Safe
40.523,-74.19,2,Safe
40.523,-74.186,4,Safe
40.523,-74.18,1,Safe
40.524,-74.235,3,Safe
40.524,-74.23,1,Safe
40.524,-74.228,1,Safe
40.524,-74.221,1,Safe
40.524,-74.219,3,Safe
40.524,-74.218,1,Safe
40.524,-74.217,1,Safe
40.524,-74.216,2,Safe
40.524,-74.215,1,Safe
40.524,-74.214,2,Safe
40.524,-74.212,1,Safe
40.524,-74.207,1,Safe
40.524,-74.202,1,Safe
40.524,-74.2,1,Safe
40.524,-74.199,1,Safe
40.524,-74.187,2,Safe
40.524,-74.186,5,Safe
40.525,-74.239,3,Safe
40.525,-74.233,1,Safe
40.525,-74.23,2,Safe
40.525,-74.22,4,Safe
40.525,-74.214,1,Safe
40.525,-74.21,2,Safe
40.525,-74.208,1,Safe
40.525,-74.205,3,Safe
40.525,-74.203,1,Safe
40.525,-74.2,1,Safe
40.525,-74.19,1,Safe
40.525,-74.175,3,Safe
40.526,-74.237,2,Safe
40.526,-74.23,1,Safe
40.526,-74.22,1,Safe
40.526,-74.21,1,Safe
40.526,-74.209,1,Safe
40.526,-74.207,1,Safe
40.526,-74.205,1,Safe
40.526,-74.204,1,Safe
40.526,-74.202,2,Safe
40.526,-74.201,1,Safe
40.526,-74.189,1,Safe
40.526,-74.18,1,Safe
40.526,-74.179,1,Safe
40.526,-74.167,3,Safe
40.526,-74.166,1,Safe
40.527,-74.216,1,Safe
40.527,-74.201,4,Safe
40.527,-74.178,2,Safe
40.527,-74.175,2,Safe
40.528,-74.241,1,Safe
40.528,-74.239,7,Safe
40.528,-74.235,2,Safe
40.528,-74.23,4,Safe
40.528,-74.217,1,Safe
40.528,-74.213,1,Safe
40.528,-74.202,2,Safe
40.528,-74.201,2,Safe
40.528,-74.199,1,Safe
40.528,-74.192,10,Safe
40.528,-74.189,1,Safe
40.528,-74.177,1,Safe
