Rounded_Lat,Rounded_Lon,Crime_Count,Safety_Status
40.512,-74.25,52,Unsafe
40.512,-74.249,15,Unsafe
40.517,-74.197,11,Unsafe
40.519,-74.235,12,Unsafe
40.522,-74.217,14,Unsafe
40.523,-74.235,15,Unsafe
40.528,-74.237,27,Unsafe
40.528,-74.232,62,Unsafe
40.528,-74.227,11,Unsafe
40.53,-74.232,26,Unsafe
40.532,-74.222,13,Unsafe
40.541,-74.147,24,Unsafe
40.545,-74.161,17,Unsafe
40.546,-74.168,12,Unsafe
40.55,-74.151,14,Unsafe
40.552,-74.15,11,Unsafe
40.556,-74.203,13,Unsafe
40.56,-74.166,26,Unsafe
40.56,-74.164,21,Unsafe
40.561,-74.17,15,Unsafe
40.562,-74.113,22,Unsafe
40.563,-74.111,42,Unsafe
40.564,-74.116,41,Unsafe
40.565,-74.112,20,Unsafe
40.567,-74.113,111,Unsafe
40.569,-74.111,19,Unsafe
40.57,-74.11,85,Unsafe
40.57,-74.108,22,Unsafe
40.571,-74.109,12,Unsafe
40.572,-74.17,15,Unsafe
40.572,-73.998,12,Unsafe
40.572,-73.995,12,Unsafe
40.573,-73.997,22,Unsafe
40.573,-73.995,27,Unsafe
40.573,-73.993,11,Unsafe
40.573,-73.992,12,Unsafe
40.574,-74.106,144,Unsafe
40.574,-74.0,11,Unsafe
40.574,-73.999,38,Unsafe
40.574,-73.997,44,Unsafe
40.574,-73.996,34,Unsafe
40.574,-73.995,34,Unsafe
40.574,-73.994,40,Unsafe
40.574,-73.993,21,Unsafe
40.574,-73.989,12,Unsafe
40.574,-73.987,26,Unsafe
40.575,-74.17,93,Unsafe
40.575,-74.112,16,Unsafe
40.575,-73.999,14,Unsafe
40.575,-73.997,26,Unsafe
40.575,-73.992,60,Unsafe
40.575,-73.991,70,Unsafe
40.575,-73.99,124,Unsafe
40.575,-73.988,40,Unsafe
40.575,-73.987,70,Unsafe
40.575,-73.986,19,Unsafe
40.575,-73.978,37,Unsafe
40.575,-73.977,24,Unsafe
40.575,-73.975,26,Unsafe
40.576,-74.002,11,Unsafe
40.576,-73.994,19,Unsafe
40.576,-73.992,14,Unsafe
40.576,-73.991,30,Unsafe
40.576,-73.99,17,Unsafe
40.576,-73.989,18,Unsafe
40.576,-73.988,18,Unsafe
40.576,-73.987,35,Unsafe
40.576,-73.986,26,Unsafe
40.576,-73.981,314,Unsafe
40.576,-73.98,26,Unsafe
40.576,-73.972,12,Unsafe
40.576,-73.969,25,Unsafe
40.576,-73.967,13,Unsafe
40.576,-73.966,20,Unsafe
40.576,-73.965,16,Unsafe
40.576,-73.964,27,Unsafe
40.576,-73.963,12,Unsafe
40.576,-73.96,11,Unsafe
40.577,-74.003,12,Unsafe
40.577,-74.002,42,Unsafe
40.577,-74.001,35,Unsafe
40.577,-74.0,28,Unsafe
40.577,-73.995,11,Unsafe
40.577,-73.991,17,Unsafe
40.577,-73.99,93,Unsafe
40.577,-73.985,17,Unsafe
40.577,-73.984,20,Unsafe
40.577,-73.983,12,Unsafe
40.577,-73.982,37,Unsafe
